"","Moon","Date","Time","BP3","OC","People_total","ppl_msq","Tide","PreTide","PostTide"
"1","Muku",20220628,0,12.34323938,0,0,0,0.0826416432,0.073152,0.164592
"2","Muku",20220628,0,13.92103346,0,0,0,0.0826416432,0.073152,0.164592
"3","Muku",20220628,0,11.11399992,0,0,0,0.0826416432,0.073152,0.164592
"4","Muku",20220628,4,20.03424454,0,0,0,0.1540757904,0.164592,-0.04572
"5","Muku",20220628,4,20.05966888,0,0,0,0.1540757904,0.164592,-0.04572
"6","Muku",20220628,4,18.89155303,0,0,0,0.1540757904,0.164592,-0.04572
"7","Muku",20220628,8,10.77350884,84.05649995,9,0.00111669042735743,-0.0395712696,0.164592,-0.04572
"8","Muku",20220628,8,16.71568664,89.25649995,9,0.00111669042735743,-0.0395712696,0.164592,-0.04572
"9","Muku",20220628,8,12.98207359,71.75649995,9,0.00111669042735743,-0.0395712696,0.164592,-0.04572
"10","Muku",20220628,9,0,0,11,0.00136484385565908,-0.0410102304,-0.04572,0.694944
"11","Muku",20220628,10,0,0,34,0.00421860828112806,0.0073462896,-0.04572,0.694944
"12","Muku",20220628,11,0,0,62,0.00769275627735116,0.1057707816,-0.04572,0.694944
"13","Muku",20220628,12,17.40705158,83.8520307,43,0.00533529870848548,0.2424114024,-0.04572,0.694944
"14","Muku",20220628,12,17.5762728,50.56522853,43,0.00533529870848548,0.2424114024,-0.04572,0.694944
"15","Muku",20220628,12,17.84468589,58.92493561,43,0.00533529870848548,0.2424114024,-0.04572,0.694944
"16","Muku",20220628,13,0,0,46,0.00570752885093796,0.3954438624,-0.04572,0.694944
"17","Muku",20220628,14,0,0,41,0.00508714528018383,0.5377866816,-0.04572,0.694944
"18","Muku",20220628,15,0,0,52,0.00645198913584291,0.6432304128,-0.04572,0.694944
"19","Muku",20220628,16,233.4873095,1684.813641,79,0.00980206041791519,0.6924699384,-0.04572,0.694944
"20","Muku",20220628,16,231.3412514,1372.826585,79,0.00980206041791519,0.6924699384,-0.04572,0.694944
"21","Muku",20220628,16,158.6002119,672.4696521,79,0.00980206041791519,0.6924699384,-0.04572,0.694944
"22","Muku",20220628,17,0,0,54,0.00670014256414456,0.6775356528,0.694944,0.064008
"23","Muku",20220628,18,0,0,36,0.00446676170942971,0.603529908,0.694944,0.064008
"24","Muku",20220628,19,0,0,33,0.00409453156697723,0.4872389544,0.694944,0.064008
"25","Muku",20220628,20,19.09820703,39.47990008,0,0,0.3529836984,0.694944,0.064008
"26","Muku",20220628,20,13.66619297,78.92796094,0,0,0.3529836984,0.694944,0.064008
"27","Muku",20220628,20,15.7930064,151.5657751,0,0,0.3529836984,0.694944,0.064008
"28","Muku",20220628,24,19.00578532,12.35483619,0,0,0.0634429008,0.064008,0.161544
"29","Muku",20220628,24,19.27386224,13.48389728,0,0,0.0634429008,0.064008,0.161544
"30","Muku",20220628,24,21.48365351,13.8751593,0,0,0.0634429008,0.064008,0.161544
"31","ʻOlekūkolu",20220707,0,21.22100372,0,0,0,0.2963445432,0.42672,-0.009144
"32","ʻOlekūkolu",20220707,0,21.48004747,0,0,0,0.2963445432,0.42672,-0.009144
"33","ʻOlekūkolu",20220707,0,19.26922089,0,0,0,0.2963445432,0.42672,-0.009144
"34","ʻOlekūkolu",20220707,4,20.3106547,15.64440543,0,0,-0.0060435744,0.42672,-0.009144
"35","ʻOlekūkolu",20220707,4,21.6979727,12.77033606,0,0,-0.0060435744,0.42672,-0.009144
"36","ʻOlekūkolu",20220707,4,22.05722145,6.970336065,0,0,-0.0060435744,0.42672,-0.009144
"37","ʻOlekūkolu",20220707,8,22.9593857,53.55777213,10,0.00124076714150825,0.223072452,-0.009144,0.460248
"38","ʻOlekūkolu",20220707,8,23.06637273,58.75777213,10,0.00124076714150825,0.223072452,-0.009144,0.460248
"39","ʻOlekūkolu",20220707,8,19.58753064,41.25777213,10,0.00124076714150825,0.223072452,-0.009144,0.460248
"40","ʻOlekūkolu",20220707,9,0,0,32,0.00397045485282641,0.3222732696,-0.009144,0.460248
"41","ʻOlekūkolu",20220707,10,0,0,49,0.00607975899339043,0.402563076,-0.009144,0.460248
"42","ʻOlekūkolu",20220707,11,0,0,57,0.00707237270659703,0.4505312808,0.460248,0.249936
"43","ʻOlekūkolu",20220707,12,522.8999119,3652.57804,54,0.00670014256414456,0.4606387536,0.460248,0.249936
"44","ʻOlekūkolu",20220707,12,246.5111077,1102.977475,54,0.00670014256414456,0.4606387536,0.460248,0.249936
"45","ʻOlekūkolu",20220707,12,286.639852,1569.456728,54,0.00670014256414456,0.4606387536,0.460248,0.249936
"46","ʻOlekūkolu",20220707,13,0,0,43,0.00533529870848548,0.4361480736,0.460248,0.249936
"47","ʻOlekūkolu",20220707,14,0,0,59,0.00732052613489869,0.3879195696,0.460248,0.249936
"48","ʻOlekūkolu",20220707,15,0,0,62,0.00769275627735116,0.3313956288,0.460248,0.249936
"49","ʻOlekūkolu",20220707,16,556.8148327,1907.299326,74,0.00918167684716106,0.2825233872,0.460248,0.249936
"50","ʻOlekūkolu",20220707,16,245.3574451,1540.341886,74,0.00918167684716106,0.2825233872,0.460248,0.249936
"51","ʻOlekūkolu",20220707,16,185.440249,1256.800506,74,0.00918167684716106,0.2825233872,0.460248,0.249936
