Moon,Time,BP3,OC
Hoku,0,36.94814522,87.42273174
Hoku,0,35.07697759,73.65826958
Hoku,0,35.89278637,70.9907929
Hoku,4,36.60598966,84.24081115
Hoku,4,37.09776853,109.0872362
Hoku,4,34.72788539,86.09180517
Hoku,8,40.61739086,85.74695973
Hoku,8,43.31342763,101.3000547
Hoku,8,46.36871136,74.10712174
Hoku,9,,
Hoku,10,,
Hoku,11,,
Hoku,12,38.36706859,195.3996377
Hoku,12,35.84011183,274.5114127
Hoku,12,34.65926699,136.7192916
Hoku,13,,
Hoku,14,,
Hoku,15,,
Hoku,16,240.6387819,1009.700288
Hoku,16,247.2925472,552.9771927
Hoku,16,234.7175561,975.5648447
Hoku,17,,
Hoku,18,,
Hoku,19,,
Hoku,20,40.595046,146.7490578
Hoku,20,36.61414893,101.9387705
Hoku,20,40.2453101,94.46915879
Hoku,24,36.51674151,70.72412647
Hoku,24,34.58695112,73.08203036
Hoku,24,36.56925512,71.10330444
