Moon,Time,BP3,OC
Muku,0,12.34323938,NA
Muku,0,13.92103346,NA
Muku,0,11.11399992,NA
Muku,4,20.03424454,NA
Muku,4,20.05966888,NA
Muku,4,18.89155303,NA
Muku,8,10.77350884,84.05649995
Muku,8,16.71568664,89.25649995
Muku,8,12.98207359,71.75649995
Muku,9,,
Muku,10,,
Muku,11,,
Muku,12,17.40705158,83.8520307
Muku,12,17.5762728,50.56522853
Muku,12,17.84468589,58.92493561
Muku,13,,
Muku,14,,
Muku,15,,
Muku,16,233.4873095,1684.813641
Muku,16,231.3412514,1372.826585
Muku,16,158.6002119,672.4696521
Muku,17,,
Muku,18,,
Muku,19,,
Muku,20,19.09820703,39.47990008
Muku,20,13.66619297,78.92796094
Muku,20,15.7930064,151.5657751
Muku,24,19.00578532,12.35483619
Muku,24,19.27386224,13.48389728
Muku,24,21.48365351,13.8751593
