Moon,Time,BP3,OC
ʻOlekūkolu,0,21.22100372,NA
ʻOlekūkolu,0,21.48004747,NA
ʻOlekūkolu,0,19.26922089,NA
ʻOlekūkolu,4,20.3106547,15.64440543
ʻOlekūkolu,4,21.6979727,12.77033606
ʻOlekūkolu,4,22.05722145,6.970336065
ʻOlekūkolu,8,22.9593857,53.55777213
ʻOlekūkolu,8,23.06637273,58.75777213
ʻOlekūkolu,8,19.58753064,41.25777213
ʻOlekūkolu,9,,
ʻOlekūkolu,10,,
ʻOlekūkolu,11,,
ʻOlekūkolu,12,522.8999119,3652.57804
ʻOlekūkolu,12,246.5111077,1102.977475
ʻOlekūkolu,12,286.639852,1569.456728
ʻOlekūkolu,13,,
ʻOlekūkolu,14,,
ʻOlekūkolu,15,,
ʻOlekūkolu,16,556.8148327,1907.299326
ʻOlekūkolu,16,245.3574451,1540.341886
ʻOlekūkolu,16,185.440249,1256.800506
ʻOlekūkolu,17,,
ʻOlekūkolu,18,,
ʻOlekūkolu,19,,
ʻOlekūkolu,20,163.8402277,252.636836
ʻOlekūkolu,20,122.7155908,259.0820244
ʻOlekūkolu,20,123.0049754,506.5800218
ʻOlekūkolu,24,29.64537981,143.4564081
ʻOlekūkolu,24,26.39701808,47.10690289
ʻOlekūkolu,24,31.04979132,68.26242599
