Moon,People_total,msq,Date,Time
Hoku,NA,8059.53,20220713,0.00
Hoku,NA,8059.53,20220713,0.00
Hoku,NA,8059.53,20220713,0.00
Hoku,NA,8059.53,20220713,4.00
Hoku,NA,8059.53,20220713,4.00
Hoku,NA,8059.53,20220713,4.00
Hoku,17.00,8059.53,20220713,8.00
Hoku,17.00,8059.53,20220713,8.00
Hoku,17.00,8059.53,20220713,8.00
Hoku,35.00,8059.53,20220713,9.00
Hoku,58.00,8059.53,20220713,10.00
Hoku,79.00,8059.53,20220713,11.00
Hoku,59.00,8059.53,20220713,12.00
Hoku,59.00,8059.53,20220713,12.00
Hoku,59.00,8059.53,20220713,12.00
Hoku,34.00,8059.53,20220713,13.00
Hoku,58.00,8059.53,20220713,14.00
Hoku,60.00,8059.53,20220713,15.00
Hoku,80.00,8059.53,20220713,16.00
Hoku,80.00,8059.53,20220713,16.00
Hoku,80.00,8059.53,20220713,16.00
Hoku,75.00,8059.53,20220713,17.00
Hoku,53.00,8059.53,20220713,18.00
Hoku,30.00,8059.53,20220713,19.00
Hoku,3.00,8059.53,20220713,20.00
Hoku,3.00,8059.53,20220713,20.00
Hoku,3.00,8059.53,20220713,20.00
Hoku,NA,8059.53,20220713,24.00
Hoku,NA,8059.53,20220713,24.00
Hoku,NA,8059.53,20220713,24.00
