Moon,People_total,msq,Date,Time
Muku,NA,8059.53,20220628,0.00
Muku,NA,8059.53,20220628,0.00
Muku,NA,8059.53,20220628,0.00
Muku,NA,8059.53,20220628,4.00
Muku,NA,8059.53,20220628,4.00
Muku,NA,8059.53,20220628,4.00
Muku,7,8059.53,20220628,8.00
Muku,7,8059.53,20220628,8.00
Muku,7,8059.53,20220628,8.00
Muku,9,8059.53,20220628,9.00
Muku,37,8059.53,20220628,10.00
Muku,65,8059.53,20220628,11.00
Muku,46,8059.53,20220628,12.00
Muku,46,8059.53,20220628,12.00
Muku,46,8059.53,20220628,12.00
Muku,49,8059.53,20220628,13.00
Muku,44,8059.53,20220628,14.00
Muku,55,8059.53,20220628,15.00
Muku,82,8059.53,20220628,16.00
Muku,82,8059.53,20220628,16.00
Muku,82,8059.53,20220628,16.00
Muku,57,8059.53,20220628,17.00
Muku,39,8059.53,20220628,18.00
Muku,36,8059.53,20220628,19.00
Muku,NA,8059.53,20220628,20.00
Muku,NA,8059.53,20220628,20.00
Muku,NA,8059.53,20220628,20.00
Muku,NA,8059.53,20220628,24.00
Muku,NA,8059.53,20220628,24.00
Muku,NA,8059.53,20220628,24.00
