"","Date","Moon","Time","Tide","PreTide_PostTide"
"1",20220628,"Muku",0,0.271134,"0.24_0.54"
"2",20220628,"Muku",0,0.271134,"0.24_0.54"
"3",20220628,"Muku",0,0.271134,"0.24_0.54"
"4",20220628,"Muku",4,0.505498,"0.54_-0.15"
"5",20220628,"Muku",4,0.505498,"0.54_-0.15"
"6",20220628,"Muku",4,0.505498,"0.54_-0.15"
"7",20220628,"Muku",8,-0.129827,"0.54_-0.15"
"8",20220628,"Muku",8,-0.129827,"0.54_-0.15"
"9",20220628,"Muku",8,-0.129827,"0.54_-0.15"
"10",20220628,"Muku",9,-0.134548,"-0.15_2.28"
"11",20220628,"Muku",10,0.024102,"-0.15_2.28"
"12",20220628,"Muku",11,0.347017,"-0.15_2.28"
"13",20220628,"Muku",12,0.795313,"-0.15_2.28"
"14",20220628,"Muku",12,0.795313,"-0.15_2.28"
"15",20220628,"Muku",12,0.795313,"-0.15_2.28"
"16",20220628,"Muku",13,1.297388,"-0.15_2.28"
"17",20220628,"Muku",14,1.764392,"-0.15_2.28"
"18",20220628,"Muku",15,2.110336,"-0.15_2.28"
"19",20220628,"Muku",16,2.271883,"-0.15_2.28"
"20",20220628,"Muku",16,2.271883,"-0.15_2.28"
"21",20220628,"Muku",16,2.271883,"-0.15_2.28"
"22",20220628,"Muku",17,2.222886,"2.28_0.21"
"23",20220628,"Muku",18,1.980085,"2.28_0.21"
"24",20220628,"Muku",19,1.598553,"2.28_0.21"
"25",20220628,"Muku",20,1.158083,"2.28_0.21"
"26",20220628,"Muku",20,1.158083,"2.28_0.21"
"27",20220628,"Muku",20,1.158083,"2.28_0.21"
"28",20220628,"Muku",24,0.208146,"0.21_0.53"
"29",20220628,"Muku",24,0.208146,"0.21_0.53"
"30",20220628,"Muku",24,0.208146,"0.21_0.53"
"31",20220707,"ʻOlekūkolu",0,0.972259,"1.4_-0.03"
"32",20220707,"ʻOlekūkolu",0,0.972259,"1.4_-0.03"
"33",20220707,"ʻOlekūkolu",0,0.972259,"1.4_-0.03"
"34",20220707,"ʻOlekūkolu",4,-0.019828,"1.4_-0.03"
"35",20220707,"ʻOlekūkolu",4,-0.019828,"1.4_-0.03"
"36",20220707,"ʻOlekūkolu",4,-0.019828,"1.4_-0.03"
"37",20220707,"ʻOlekūkolu",8,0.731865,"-0.03_1.51"
"38",20220707,"ʻOlekūkolu",8,0.731865,"-0.03_1.51"
"39",20220707,"ʻOlekūkolu",8,0.731865,"-0.03_1.51"
"40",20220707,"ʻOlekūkolu",9,1.057327,"-0.03_1.51"
"41",20220707,"ʻOlekūkolu",10,1.320745,"-0.03_1.51"
"42",20220707,"ʻOlekūkolu",11,1.478121,"1.51_0.82"
"43",20220707,"ʻOlekūkolu",12,1.511282,"1.51_0.82"
"44",20220707,"ʻOlekūkolu",12,1.511282,"1.51_0.82"
"45",20220707,"ʻOlekūkolu",12,1.511282,"1.51_0.82"
"46",20220707,"ʻOlekūkolu",13,1.430932,"1.51_0.82"
"47",20220707,"ʻOlekūkolu",14,1.272702,"1.51_0.82"
"48",20220707,"ʻOlekūkolu",15,1.087256,"1.51_0.82"
"49",20220707,"ʻOlekūkolu",16,0.926914,"1.51_0.82"
"50",20220707,"ʻOlekūkolu",16,0.926914,"1.51_0.82"
"51",20220707,"ʻOlekūkolu",16,0.926914,"1.51_0.82"
"52",20220707,"ʻOlekūkolu",17,0.832162,"1.51_0.82"
"53",20220707,"ʻOlekūkolu",18,0.821405,"0.82_1.15"
"54",20220707,"ʻOlekūkolu",19,0.886544,"0.82_1.15"
"55",20220707,"ʻOlekūkolu",20,0.995488,"0.82_1.15"
"56",20220707,"ʻOlekūkolu",20,0.995488,"0.82_1.15"
"57",20220707,"ʻOlekūkolu",20,0.995488,"0.82_1.15"
"58",20220707,"ʻOlekūkolu",24,0.972876,"1.15_-0.11"
"59",20220707,"ʻOlekūkolu",24,0.972876,"1.15_-0.11"
"60",20220707,"ʻOlekūkolu",24,0.972876,"1.15_-0.11"
"61",20220713,"Hoku",0,0.127613,"0.07_0.57"
"62",20220713,"Hoku",0,0.127613,"0.07_0.57"
"63",20220713,"Hoku",0,0.127613,"0.07_0.57"
"64",20220713,"Hoku",4,0.546512,"0.57_-0.41"
"65",20220713,"Hoku",4,0.546512,"0.57_-0.41"
"66",20220713,"Hoku",4,0.546512,"0.57_-0.41"
"67",20220713,"Hoku",8,-0.349324,"0.57_-0.41"
"68",20220713,"Hoku",8,-0.349324,"0.57_-0.41"
"69",20220713,"Hoku",8,-0.349324,"0.57_-0.41"
"70",20220713,"Hoku",9,-0.408065,"-0.41_2.73"
"71",20220713,"Hoku",10,-0.254964,"-0.41_2.73"
"72",20220713,"Hoku",11,0.120982,"-0.41_2.73"
"73",20220713,"Hoku",12,0.67773,"-0.41_2.73"
"74",20220713,"Hoku",12,0.67773,"-0.41_2.73"
"75",20220713,"Hoku",12,0.67773,"-0.41_2.73"
"76",20220713,"Hoku",13,1.32731,"-0.41_2.73"
"77",20220713,"Hoku",14,1.954543,"-0.41_2.73"
"78",20220713,"Hoku",15,2.442883,"-0.41_2.73"
"79",20220713,"Hoku",16,2.70109,"-0.41_2.73"
"80",20220713,"Hoku",16,2.70109,"-0.41_2.73"
"81",20220713,"Hoku",16,2.70109,"-0.41_2.73"
"82",20220713,"Hoku",17,2.684185,"2.73_0.02"
"83",20220713,"Hoku",18,2.403535,"2.73_0.02"
"84",20220713,"Hoku",19,1.923601,"2.73_0.02"
"85",20220713,"Hoku",20,1.346189,"2.73_0.02"
"86",20220713,"Hoku",20,1.346189,"2.73_0.02"
"87",20220713,"Hoku",20,1.346189,"2.73_0.02"
"88",20220713,"Hoku",24,0.023125,"0.02_0.61"
"89",20220713,"Hoku",24,0.023125,"0.02_0.61"
"90",20220713,"Hoku",24,0.023125,"0.02_0.61"
