People_total,msq,Pple_msq,Date,Moon,Time
,8059.53,,20220628,Muku,0.00
,8059.53,,20220628,Muku,0.00
,8059.53,,20220628,Muku,0.00
,8059.53,,20220628,Muku,4.00
,8059.53,,20220628,Muku,4.00
,8059.53,,20220628,Muku,4.00
9,8059.53,0.00111669,20220628,Muku,8.00
9,8059.53,0.00111669,20220628,Muku,8.00
9,8059.53,0.00111669,20220628,Muku,8.00
11,8059.53,0.001364844,20220628,Muku,9.00
34,8059.53,0.004218608,20220628,Muku,10.00
62,8059.53,0.007692756,20220628,Muku,11.00
43,8059.53,0.005335299,20220628,Muku,12.00
43,8059.53,0.005335299,20220628,Muku,12.00
43,8059.53,0.005335299,20220628,Muku,12.00
46,8059.53,0.005707529,20220628,Muku,13.00
41,8059.53,0.005087145,20220628,Muku,14.00
52,8059.53,0.006451989,20220628,Muku,15.00
79,8059.53,0.00980206,20220628,Muku,16.00
79,8059.53,0.00980206,20220628,Muku,16.00
79,8059.53,0.00980206,20220628,Muku,16.00
54,8059.53,0.006700143,20220628,Muku,17.00
36,8059.53,0.004466762,20220628,Muku,18.00
33,8059.53,0.004094532,20220628,Muku,19.00
,8059.53,,20220628,Muku,20.00
,8059.53,,20220628,Muku,20.00
,8059.53,,20220628,Muku,20.00
,8059.53,,20220628,Muku,24.00
,8059.53,,20220628,Muku,24.00
,8059.53,,20220628,Muku,24.00
,8059.53,,20220707,ʻOlekūkolu,0.00
,8059.53,,20220707,ʻOlekūkolu,0.00
,8059.53,,20220707,ʻOlekūkolu,0.00
,8059.53,,20220707,ʻOlekūkolu,4.00
,8059.53,,20220707,ʻOlekūkolu,4.00
,8059.53,,20220707,ʻOlekūkolu,4.00
10,8059.53,0.001240767,20220707,ʻOlekūkolu,8.00
10,8059.53,0.001240767,20220707,ʻOlekūkolu,8.00
10,8059.53,0.001240767,20220707,ʻOlekūkolu,8.00
32,8059.53,0.003970455,20220707,ʻOlekūkolu,9.00
49,8059.53,0.006079759,20220707,ʻOlekūkolu,10.00
57,8059.53,0.007072373,20220707,ʻOlekūkolu,11.00
54,8059.53,0.006700143,20220707,ʻOlekūkolu,12.00
54,8059.53,0.006700143,20220707,ʻOlekūkolu,12.00
54,8059.53,0.006700143,20220707,ʻOlekūkolu,12.00
